corner,scorer,before,random moves,suggested,drop_suggested,drop_random
185,lgbm_hard (independent),0.7621871134427365,0.7433648245382393,0.6569124253896151,0.10527468805312135,0.01882228890449722
195,gnn_hard (optimised),0.9428646564483643,0.9374514222145081,0.8992888927459717,0.04357576370239258,0.005413234233856201
195,gnn_hybrid (independent),0.9661469459533691,0.9319693446159363,0.953102707862854,0.013044238090515137,0.03417760133743286
195,lgbm_hard (independent),0.918564272732914,0.9270646112857002,0.92918365568523,-0.010619382952316014,-0.008500338552786202
222,gnn_hard (optimised),0.9032890200614929,0.8666657209396362,0.7747779488563538,0.12851107120513916,0.03662329912185669
222,gnn_hybrid (independent),0.8426222801208496,0.7192746996879578,0.6123107075691223,0.2303115725517273,0.12334758043289185
222,lgbm_hard (independent),0.8592389199229692,0.868876560778684,0.8180145571561257,0.04122436276684349,-0.009637640855714835
225,gnn_hard (optimised),0.7288762331008911,0.7198387384414673,0.4499383568763733,0.2789378762245178,0.009037494659423828
225,gnn_hybrid (independent),0.6042039394378662,0.5565184354782104,0.4121745824813843,0.19202935695648193,0.04768550395965576
225,lgbm_hard (independent),0.46062787055339316,0.44416858210228244,0.25561075486905743,0.20501711568433573,0.01645928845111072
232,gnn_hard (optimised),0.7114635705947876,0.7677246928215027,0.5206878781318665,0.19077569246292114,-0.05626112222671509
232,gnn_hybrid (independent),0.7179564237594604,0.6159519553184509,0.4694262146949768,0.24853020906448364,0.10200446844100952
232,lgbm_hard (independent),0.6264244984887538,0.668089856574797,0.5488029989969442,0.07762149949180963,-0.041665358086043214
234,gnn_hard (optimised),0.8296639323234558,0.8400261998176575,0.7409118413925171,0.08875209093093872,-0.01036226749420166
234,gnn_hybrid (independent),0.820436418056488,0.9208676815032959,0.6999149322509766,0.12052148580551147,-0.10043126344680786
234,lgbm_hard (independent),0.6224936479603838,0.6577232139667275,0.5884616560876095,0.03403199187277428,-0.03522956600634375
235,gnn_hard (optimised),0.7392405271530151,0.7901405096054077,0.3358226418495178,0.4034178853034973,-0.05089998245239258
235,gnn_hybrid (independent),0.9425499439239502,0.9499921798706055,0.3665037453174591,0.5760461986064911,-0.0074422359466552734
235,lgbm_hard (independent),0.49680812754601583,0.47572113126857823,0.3752351162942208,0.12157301125179504,0.021086996277437597
238,gnn_hard (optimised),0.6841437220573425,0.6128491163253784,0.45205360651016235,0.23209011554718018,0.07129460573196411
238,gnn_hybrid (independent),0.5602855086326599,0.49218782782554626,0.4103527367115021,0.14993277192115784,0.06809768080711365
238,lgbm_hard (independent),0.6895747244317687,0.6487677520427632,0.6437092239038813,0.045865500527887404,0.04080697238900555
242,gnn_hard (optimised),0.7022751569747925,0.7112404704093933,0.4902021288871765,0.21207302808761597,-0.00896531343460083
242,gnn_hybrid (independent),0.47331494092941284,0.5125837922096252,0.3490608334541321,0.12425410747528076,-0.0392688512802124
242,lgbm_hard (independent),0.4804179952324169,0.49157027738899395,0.4422572693014443,0.03816072593097258,-0.011152282156577042
254,gnn_hard (optimised),0.726929247379303,0.7531712055206299,0.543918251991272,0.183010995388031,-0.026241958141326904
254,gnn_hybrid (independent),0.46447187662124634,0.48765474557876587,0.47407054901123047,-0.00959867238998413,-0.02318286895751953
254,lgbm_hard (independent),0.5380806977890289,0.6615850370987585,0.608687104371128,-0.07060640658209916,-0.1235043393097296
258,gnn_hard (optimised),0.6890180110931396,0.6143068075180054,0.5446224212646484,0.1443955898284912,0.07471120357513428
258,gnn_hybrid (independent),0.6852362751960754,0.6612892746925354,0.6169684529304504,0.068267822265625,0.02394700050354004
258,lgbm_hard (independent),0.6077922547038369,0.48613371982816594,0.4881548713086585,0.11963738339517843,0.12165853487567097
259,gnn_hard (optimised),0.7014619708061218,0.6286928057670593,0.545428454875946,0.15603351593017578,0.0727691650390625
